course_name,subject,tags,url
ACC 311: Fundamentals of Auditing,accounting,"CPA (Certified Public Accountant), Auditing, Finance",http://ocw.vu.edu.pk/CourseDetails.aspx?cat=Accounting%2c+Banking+%26+Finance&course=ACC311
ACC 501: Business Finance,accounting,"Finance, Business",http://ocw.vu.edu.pk/CourseDetails.aspx?cat=Accounting%2c+Banking+%26+Finance&course=ACC501
FIN 622: Corporate Finance,accounting,"Finance, Business",http://ocw.vu.edu.pk/CourseDetails.aspx?cat=Accounting%2c+Banking+%26+Finance&course=FIN622
Management of Libraries and Information Services,accounting,"Financial Management, Human Resources, Management",http://open.umich.edu/education/si/si626/winter2009.html
FIN 623: Taxation Management,accounting,"CPA (Certified Public Accountant), Business, Finance, Tax",http://ocw.vu.edu.pk/CourseOverview.aspx?cat=Law&course=FIN623
MGT 101: Financial Accounting,accounting,"Finance, Accounting",http://ocw.vu.edu.pk/CourseDetails.aspx?cat=Accounting%2c+Banking+%26+Finance&course=MGT101
Financial Accounting,accounting,"Finance, Accounting, Reporting, Tax",http://ocw.mit.edu/courses/sloan-school-of-management/15-515-financial-accounting-fall-2003/index.htm
Taxes and Business Strategy,accounting,"Finance, Accounting, Tax, Business, Strategy",http://ocw.mit.edu/courses/sloan-school-of-management/15-518-taxes-and-business-strategy-fall-2002/index.htm
Corporate Finance for Health Care Administrators,accounting,"Finance, Medical Administration",http://open.umich.edu/education/sph/hmp607/fall2008.html
Object-Oriented Programming in C++,computerscience,"Computer Engineering, Programming, Software Development",http://ocw.usq.edu.au/course/view.php?id=13
CS 470/670: Artificial Intelligence,computerscience,"Systems Design, Engineering, Programming",http://ocw.umb.edu/computer-science/artificial-intelligence
Introduction to Robotics,computerscience,"Computer Engineering, Robotics",http://see.stanford.edu/see/courseinfo.aspx?coll=86cc8662-f6e4-43c3-a1be-b30d1d179743
Introduction to Computer Science: Programming Methodology,computerscience,"Programming, Software Engineering",http://see.stanford.edu/see/courseinfo.aspx?coll=824a47e1-135f-4508-a5aa-866adcae1111
Introduction to Computer Science: Programming Abstractions,computerscience,"Programming, Software Engineering",http://see.stanford.edu/see/courseinfo.aspx?coll=11f4f422-5670-4b4c-889c-008262e09e4e
Introduction to Computer Science: Programming Paradigms,computerscience,"Programming, Software Engineering, Information Technology",http://see.stanford.edu/see/courseinfo.aspx?coll=2d712634-2bf1-4b55-9a3a-ca9d470755ee
Artificial Intelligence: Machine Learning,computerscience,"Robotics, Artificial Intelligence, Machine Learning",http://see.stanford.edu/see/courseinfo.aspx?coll=348ca38a-3a6d-4052-937d-cb017338d7b1
Artificial Intelligence: Natural Language Processing,computerscience,"Robotics, Artificial Intelligence, Natural Language Processing (NLP)",http://see.stanford.edu/see/courseinfo.aspx?coll=63480b48-8819-4efd-8412-263f1a472f5a
Exposing Digital Photography,computerscience,"Photography, Hardware",http://tv.cse7.org/2010/fall/
"Compilers: Principles, Techniques, and Tools",computerscience,"Compilers, Programming Languages",http://dragonbook.stanford.edu/
Introduction to Videogame Studies,computerscience,"Videogame, Technology",http://ocw.mit.edu/courses/comparative-media-studies/cms-300-introduction-to-videogame-studies-fall-2011/
Computers in Our World,computerscience,"Computing, Technology, Programming",https://www.cs.princeton.edu/courses/archive/fall06/cos109/
Introduction to Computer Graphics,computerscience,"Computer Graphics, Transformations, Graphics",http://www.cs.ubc.ca/~tmm/courses/314/Vjan2007/
Logic Programming,computerscience,"Logic, Programming, Static Analyses",https://www.cs.cmu.edu/~fp/courses/lp/handouts.html
Computer Game Programming,computerscience,"Game Programming, Programming, Java",http://www.emunix.emich.edu/~evett/GameProgramming/index.html
Introduction to Database Systems,computerscience,"Calculus, Algebra, Modeling, Databases",http://inst.eecs.berkeley.edu/~cs186/fa06/notes.php
Introduction to Computer Systems,computerscience,"Programming, Memory, Machines, Internetworking",https://www.cs.cmu.edu/afs/cs/academic/class/15213-f06/www/lectures.html
Linear Logic,computerscience,"Linear Logic, Deductions, Programming",https://www.cs.cmu.edu/~fp/courses/linear/handouts.html
Automatic Speech Recognition,computerscience,"Algorithms, Automation, Engineering",http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-345-automatic-speech-recognition-spring-2003/
Introduction to Programming,computerscience,"Programming, Transformers, Machines",http://www.eecs.qmul.ac.uk/~mmh/ItP/resources/index.html
Algorithms and Data Structures,computerscience,"Algorithms, Data Structures, Java",http://www.eecs.qmul.ac.uk/~mmh/DCS128/notes/new_index.html
Data Communication Networks,computerscience,"Databases, Networking",http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-263j-data-communication-networks-fall-2002/lecture-notes/
Concepts and Tools for Software Development,computerscience,"Software Development, Programming",https://www.cs.washington.edu/education/courses/cse303/07wi/
Machine Learning,computerscience,"Machine Learning, Systems, Robotics",https://www.cs.cmu.edu/~awm/15781/
CSE 461: Computer Communication and Networks,computerscience,"Networking, Databases, Internetworking",https://www.cs.washington.edu/education/courses/cse461/07wi/lectures/index.html
CSE 403: Software Engineering,computerscience,"Software Engineering, Programming",https://www.cs.washington.edu/education/courses/cse403/07wi/
CSE 322: Introduction to Formal Models in Computer Science,computerscience,"Formal Models, Programming Languages",https://www.cs.washington.edu/education/courses/cse322/06sp/
CSE 326: Data Structures,computerscience,"Data Structures, Programming",https://www.cs.washington.edu/education/courses/cse326/07wi/lectures/calendar_wi07.htm
Machine Organization and Assembly,computerscience,"Machine Organization, Assembly Language Programming, Programming",https://www.cs.washington.edu/education/courses/cse378/07wi/syllabus/index.shtml
CSE444 Introduction to Database Systems,computerscience,"Databases, Networking, Query Execution",https://www.cs.washington.edu/education/courses/cse444/06au/Calendar.htm
CSE 451: Operating Systems,computerscience,"Operating Systems, Systems, Memory",https://www.cs.washington.edu/education/courses/cse451/07wi/lectures.htm
Advanced Internet and Web Services,computerscience,"Web Services, Internet, Interfaces",https://www.cs.washington.edu/education/courses/cse454/05sp/slides.html
Computer Vision,computerscience,"Segmentation, Object Recognition, Optical Flow",https://www.cs.washington.edu/education/courses/cse455/07wi/notes.html
Software for Embedded Systems,computerscience,"Software, Embedded Systems, Networks",https://www.cs.washington.edu/education/courses/cse466/06wi/lectures/
Advanced Digital Design,computerscience,"Digital Synthesis, Modeling, Digital Design",https://www.cs.washington.edu/education/courses/cse467/05wi/calendar.html
CSE 471: Computer Design and Organization,computerscience,"Caching, Synchronization, Processors, Dataflow",https://www.cs.washington.edu/education/courses/cse471/06sp/lectures.html
CSE 473: Artificial Intelligence,computerscience,"Artificial Intelligence, Networks, Inference",https://www.cs.washington.edu/education/courses/cse473/06au/schedule/
CSE 490: Introduction to Data Compression,computerscience,"Information Theory, Databases, Arithmetic Coding",https://www.cs.washington.edu/education/courses/cse490g/06wi/
Design in Neurobotics,computerscience,"Neurobotics, Robotics",https://www.cs.washington.edu/education/courses/cse490i/07wi/lectures.html
Computer Systems,computerscience,"Systems, Engineering",https://www.cs.washington.edu/education/courses/cse410/06sp/calendar410.html
CSE 415: Introduction to Artificial Intelligence,computerscience,"Simulation, Artificial Intelligence, Ensembles",https://www.cs.washington.edu/education/courses/cse415/06wi/notes.html
Algorithms & Computational Complexity,computerscience,"Algorithms, Computation",https://www.cs.washington.edu/education/courses/cse417/07wi/
Implementation of Programming Languages,computerscience,"Programming Languages, Compiler Organization, Software Development",https://www.cs.washington.edu/education/courses/cse501/04wi/slides/index.html
CSE503: Software Engineering,computerscience,"Software Development, Programming",https://www.cs.washington.edu/education/courses/cse503/06sp/
Computational Neuroscience,computerscience,"Neurobiology, Networks, Coding",https://www.cs.washington.edu/education/courses/cse528/05wi/lectures.html
Communicating with Mobile Technology,computerscience,"Mobile Technology, Mobile Applications, Engineering",http://ocw.mit.edu/courses/writing-and-humanistic-studies/21w-789-communicating-with-mobile-technology-spring-2011/
Computer Vision,computerscience,"Matlab, Robotics, Computational Vision",http://www.robots.ox.ac.uk/~dwm/Courses/4CV/index.html
CS 446: Real-Time Rendering,computerscience,"Rendering Engine, 3D Graphics, Visibility",https://www.cs.virginia.edu/~gfx/Courses/2004/RealTime/
Introduction to Computer Graphics,computerscience,"Computer Graphics, Modeling, Programming",https://www.cs.virginia.edu/~gfx/Courses/2004/Intro.Spring.04/
Animation,computerscience,"Inverse Kinematics, Motion Capture, Animation, Optimization, Physical Simulation",https://www.cs.virginia.edu/~gfx/courses/2003/Animation.fall.03/index.html
Image Synthesis,computerscience,"Image Synthesis, Rendering, Computer Graphics",https://www.cs.virginia.edu/~gfx/Courses/2003/ImageSynthesis/
Information Visualization,computerscience,"Perception, High Dimensionality, Animation",http://www.cs.ubc.ca/~tmm/courses/cpsc533c-06-fall/
Introduction to Computation (Java),computerscience,"Computation, Java, Hardware",http://www.cs.ubc.ca/~tmm/courses/cpsc111-06-spr/
Advanced Topics in Cryptography,computerscience,"Cryptography, Secure Computation, Mathematics",http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-876j-advanced-topics-in-cryptography-spring-2003/lecture-notes/
Quantum Computation,computerscience,"Quantum Computation, Information Processing, Quantum Logic, Quantum Algorithms",http://ocw.mit.edu/courses/mathematics/18-435j-quantum-computation-fall-2003/index.htm
Principles of Digital Communication,computerscience,"Digital Communication, Communications, Data Compression",http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-450-principles-of-digital-communication-i-fall-2009/
I/O-Algorithms,computerscience,"Algorithms, Memory, Data Structures",http://www.daimi.au.dk/~large/ioS08/index.html
Programming Languages and Translators,computerscience,"Programming Languages, Translators, Programming",http://www1.cs.columbia.edu/~aho/cs4115/
Science of Sound,computerscience,"Electrical Engineering, Computing Engineering",http://ocw.usu.edu/Electrical_and_Computer_Engineering/Science_of_Sound/
XML Foundations,computerscience,"Extensible Markup Language (XML), Programming Languages, Syntax",http://dret.net/lectures/xml-fall06/
Introduction to Artificial Intelligence,computerscience,"Artificial Intelligence, Probability, Speech Recognition",http://www-inst.eecs.berkeley.edu/~cs188/fa06/lectures.html
Python Track,computerscience,"Python, Programming Language, Coding",http://courses.cms.caltech.edu/cs11/material/python/index.html
Introduction to Algorithms,computerscience,"Algorithms, Dynamic Programming, Numbers Pictures (NP)",http://courses.csail.mit.edu/6.006/spring11/notes.shtml
Haskell Track,computerscience,"Haskell, Programming Language, DSLs (Domain-Specific Languages)",http://courses.cms.caltech.edu/cs11/material/haskell/index.html
Java Track,computerscience,"Java, Programming Language, Coding",http://courses.cms.caltech.edu/cs11/material/java/mike/
Advanced C++,computerscience,"C++, Standard Template Library (STL), Algorithms",http://courses.cms.caltech.edu/cs11/material/advcpp/index.html
C++,computerscience,"C++, Functions, Algorithms",http://courses.cms.caltech.edu/cs11/material/cpp/donnie/index.html
C Track,computerscience,"C Programming Language, UNIX, Coding",http://courses.cms.caltech.edu/cs11/material/c/mike/index.html
Data Structures and Algorithms,computerscience,"Operating Systems, Data Structures, Algorithms",http://people.cis.ksu.edu/~schmidt/300s05/Lectures/home.html
Java Programming,computerscience,"Java Programming, Programming Languages",http://sofia.fhda.edu/gallery/java/lessons.html
Computer Language Engineering,computerscience,"Programming Languages, Functions, Software Development",http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-035-computer-language-engineering-spring-2010/
